Year	Country	Predicted
2005	ALB	324672.2565494962
2005	CHN	112493.83228581655
2005	ECU	53596.969830382615
2005	EGY	53069.44245213526
2005	MAR	301143.5610044319
2005	PER	53804.123752054526
2005	PHL	83506.3592623386
2005	ROU	252342.68960868567
2005	TUN	80597.88264353038
2006	ALB	357811.4308820572
2006	CHN	128820.91686125728
2006	ECU	62377.50153214717
2006	EGY	58978.268727574265
2006	MAR	327780.27394627966
2006	PER	60311.89749564274
2006	PHL	90251.39094736811
2006	ROU	302121.56518702954
2006	TUN	86339.03783903224
2007	ALB	385924.3213670533
2007	CHN	146016.04954190832
2007	ECU	69341.25334404455
2007	EGY	65839.04233725462
2007	MAR	351272.65608908795
2007	PER	67355.32829859326
2007	PHL	99980.32861557812
2007	ROU	347493.1609764248
2007	TUN	91647.43184986734
2008	ALB	415111.6908284556
2008	CHN	157847.04940899624
2008	ECU	73710.84846791858
2008	EGY	69883.06775768101
2008	MAR	377680.6468390953
2008	PER	71690.6567648229
2008	PHL	106352.59295743192
2008	ROU	633683.3981881626
2008	TUN	96756.48914764985
2009	ALB	451542.30037294887
2009	CHN	171849.15190202068
2009	ECU	80609.42682551313
2009	EGY	74722.1787253546
2009	MAR	410748.86212110147
2009	PER	78562.9936888867
2009	PHL	114024.3282172844
2009	ROU	806636.1860396825
2009	TUN	102973.15851992113
