	Andalucía	Aragón	Canarias	Cantabria	Castilla - La Mancha	Castilla y León	Cataluña	Comunidad Foral de Navarra	Comunidad de Madrid	Comunitat Valenciana	Cueta	Extremadura	Galicia	Illes Balears	La Rioja	Melilla	País Vasco	Principado de Asturias	Región de Murcia
Andalucía	0	748	1619	834	326	667	917	806	441	540	294	315	934	930	739	392	807	886	441
Aragón	748	0	2330	399	480	357	245	179	319	338	1012	589	807	610	207	973	291	604	523
Canarias	1619	2330	0	2268	1907	2109	2498	2397	2012	2121	1714	1759	2284	2511	2326	1974	2317	2259	2022
Cantabria	834	399	2268	0	584	189	681	319	414	731	1010	572	544	1041	285	1078	195	203	783
Castilla - La Mancha	326	480	1907	584	0	396	631	535	188	254	589	351	712	644	468	550	536	615	274
Castilla y León	667	357	2109	189	396	0	594	309	236	548	850	412	432	938	238	890	229	265	600
Cataluña	917	245	2498	681	631	594	0	402	555	383	1149	824	1030	374	430	1085	514	827	568
Comunidad Foral de Navarra	806	179	2397	319	535	309	402	0	378	499	1070	648	709	747	104	1032	131	462	684
Comunidad de Madrid	441	319	2012	414	188	236	555	378	0	331	716	275	548	721	308	678	372	446	383
Comunitat Valenciana	540	338	2121	731	254	548	383	499	331	0	805	578	876	401	531	766	614	779	225
Cueta	294	1012	1714	1010	589	850	1149	1070	716	805	0	500	1052	1068	1002	385	1058	1000	610
Extremadura	315	589	1759	572	351	412	824	648	275	578	500	0	613	967	581	692	619	560	609
Galicia	834	807	2284	544	712	432	1030	709	548	876	1052	613	0	1262	635	1205	627	325	928
Illes Balears	930	610	2511	1041	644	938	374	747	721	401	1068	967	1262	0	776	1004	859	1169	508
La Rioja	739	207	2326	285	468	238	430	104	308	531	1002	581	635	776	0	965	126	439	657
Melilla	392	973	1974	1078	550	890	1085	1032	678	766	385	692	1205	1004	965	0	1031	1109	545
País Vasco	807	291	2317	195	536	229	514	131	372	614	1058	619	627	859	126	1031	0	343	741
Principado de Asturias	886	604	2259	203	615	265	827	462	446	779	1000	560	325	1169	439	1109	343	0	833
Región de Murcia	441	523	2022	783	274	600	568	684	383	225	610	609	928	508	657	545	741	833	0
